                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4864,                 3.9208,                 3.6052,                 4.1614,                 6.0934,                 3.4598,                0.02118,                0.30158,                0.03264,                0.01034,                 3.0328,                 3.3272,                 2.8667,                  2.509,                 4.0001,                 2.6475,              0.0033295,              0.0033295,              0.0033295
                      2,                 2.5897,                  2.353,                  2.218,                 2.2827,                 2.9536,                 1.9829,                 0.4453,                0.32551,                 0.3026,                0.11699,                  2.316,                 2.1008,                 2.1871,                 2.0493,                 2.6938,                 2.0476,              0.0065969,              0.0065969,              0.0065969
                      3,                 2.1706,                 1.8415,                 1.8687,                  2.005,                 2.3705,                 1.7276,                0.53808,                0.47178,                0.48307,                0.20693,                 1.9443,                  1.999,                 1.8735,                 1.7891,                 2.5378,                 1.8067,              0.0097983,              0.0097983,              0.0097983
                      4,                 2.0373,                 1.6388,                 1.7575,                 1.9282,                 2.0957,                 1.6619,                0.65376,                0.51783,                0.58465,                0.26303,                 1.9665,                 1.4715,                 1.8802,                 1.8479,                 1.8262,                 1.8223,               0.009703,               0.009703,               0.009703
                      5,                 1.9561,                 1.4868,                 1.6975,                 1.8752,                 1.8964,                 1.6192,                  0.693,                0.55848,                0.63751,                0.28843,                 1.8697,                 1.4221,                 1.7928,                  1.771,                 1.7377,                 1.7549,               0.009703,               0.009703,               0.009703
                      6,                 1.9115,                  1.398,                 1.6613,                 1.8492,                  1.776,                 1.5972,                0.77897,                0.61986,                0.71251,                0.33872,                 1.8264,                  1.238,                  1.763,                 1.7402,                 1.4935,                 1.7112,               0.009604,               0.009604,               0.009604
                      7,                 1.8644,                 1.3201,                  1.626,                 1.8344,                 1.6516,                 1.5797,                0.78491,                0.64424,                0.74667,                0.36598,                 1.7887,                 1.1667,                 1.7258,                   1.75,                 1.3557,                 1.7106,               0.009505,               0.009505,               0.009505
                      8,                 1.8369,                  1.277,                 1.6088,                 1.8283,                  1.561,                  1.573,                0.83265,                0.66266,                0.77027,                0.37388,                 1.7618,                 1.1269,                 1.7103,                 1.7866,                 1.2369,                 1.7216,               0.009406,               0.009406,               0.009406
                      9,                  1.818,                  1.239,                 1.5933,                 1.8242,                 1.4964,                 1.5653,                0.81072,                0.67404,                0.77017,                0.38129,                 1.7486,                 1.1148,                 1.6991,                 1.7458,                 1.2372,                 1.6935,               0.009307,               0.009307,               0.009307
                     10,                 1.8031,                 1.2095,                 1.5824,                 1.8107,                 1.4525,                 1.5552,                0.87366,                0.66184,                0.78168,                0.38784,                 1.7467,                 1.1101,                 1.6884,                  1.756,                 1.2229,                 1.6921,               0.009208,               0.009208,               0.009208
                     11,                 1.7857,                 1.1819,                  1.574,                 1.7993,                 1.4141,                 1.5514,                0.86302,                0.67414,                0.79323,                0.40242,                  1.722,                 1.0742,                 1.6705,                 1.7324,                 1.1921,                  1.668,               0.009109,               0.009109,               0.009109
                     12,                 1.7666,                 1.1541,                 1.5642,                 1.7796,                 1.3856,                 1.5403,                0.85246,                0.71106,                0.81013,                0.40509,                 1.7311,                 1.0326,                  1.684,                 1.7376,                 1.1098,                 1.6845,                0.00901,                0.00901,                0.00901
                     13,                 1.7507,                 1.1261,                 1.5533,                 1.7733,                 1.3293,                 1.5325,                0.87248,                0.69977,                0.81484,                0.41437,                 1.6832,                 1.0309,                 1.6519,                 1.6988,                 1.1045,                 1.6558,               0.008911,               0.008911,               0.008911
                     14,                 1.7396,                 1.1149,                 1.5429,                 1.7576,                 1.3256,                 1.5234,                0.88501,                0.73002,                0.83742,                0.43123,                 1.6696,                0.97759,                 1.6392,                 1.6777,                 1.0475,                 1.6405,               0.008812,               0.008812,               0.008812
