                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4864,                 3.9208,                 3.6052,                 4.1614,                 6.0934,                 3.4598,                0.05244,                0.14808,                0.03385,                0.01057,                 3.0848,                 3.3405,                 2.9114,                 2.5676,                 3.9926,                 2.7013,              0.0033295,              0.0033295,              0.0033295
                      2,                 2.5897,                  2.353,                  2.218,                 2.2827,                 2.9536,                 1.9829,                0.43377,                0.32731,                0.29764,                0.11552,                 2.3133,                 2.1328,                 2.1867,                 2.0405,                 2.7115,                 2.0368,              0.0065969,              0.0065969,              0.0065969
                      3,                 2.1706,                 1.8415,                 1.8687,                  2.005,                 2.3705,                 1.7276,                0.51503,                0.43115,                0.43249,                0.17753,                  2.004,                 2.2249,                  1.911,                 1.8385,                 2.8779,                 1.8416,              0.0097983,              0.0097983,              0.0097983
                      4,                 2.0373,                 1.6388,                 1.7575,                 1.9282,                 2.0957,                 1.6619,                0.63645,                0.48894,                0.55836,                0.25028,                 1.9991,                 1.5294,                 1.9063,                 1.8741,                 1.8924,                  1.848,               0.009703,               0.009703,               0.009703
                      5,                 1.9561,                 1.4868,                 1.6975,                 1.8752,                 1.8964,                 1.6192,                0.66827,                0.54312,                0.60229,                0.26626,                 1.9455,                 1.4928,                 1.8366,                 1.8469,                 1.8165,                 1.8027,               0.009703,               0.009703,               0.009703
                      6,                 1.9115,                  1.398,                 1.6613,                 1.8492,                  1.776,                 1.5972,                 0.7574,                 0.5851,                0.67393,                0.30655,                 1.9103,                  1.338,                 1.8188,                 1.8185,                 1.6331,                 1.7691,               0.009604,               0.009604,               0.009604
                      7,                 1.8644,                 1.3201,                  1.626,                 1.8344,                 1.6516,                 1.5797,                0.73367,                0.59368,                0.67514,                0.30752,                 1.8985,                 1.3384,                 1.7966,                 1.8446,                 1.6138,                  1.785,               0.009505,               0.009505,               0.009505
                      8,                 1.8369,                  1.277,                 1.6088,                 1.8283,                  1.561,                  1.573,                0.79726,                0.62847,                0.71173,                0.32601,                 1.8645,                 1.2888,                 1.7805,                 1.8922,                 1.4336,                 1.7976,               0.009406,               0.009406,               0.009406
                      9,                  1.818,                  1.239,                 1.5933,                 1.8242,                 1.4964,                 1.5653,                0.82001,                 0.6307,                0.73274,                0.34932,                 1.8211,                 1.2069,                 1.7434,                 1.8185,                 1.3688,                 1.7416,               0.009307,               0.009307,               0.009307
                     10,                 1.8031,                 1.2095,                 1.5824,                 1.8107,                 1.4525,                 1.5552,                0.80104,                0.62164,                0.72169,                0.34565,                 1.8383,                 1.2354,                 1.7447,                 1.8314,                 1.3964,                 1.7387,               0.009208,               0.009208,               0.009208
