                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5033,                 3.9778,                 3.6492,                 3.9932,                 6.0982,                 3.4414,                 0.0111,                0.08801,                0.00948,                0.00354,                 3.6033,                 3.8616,                 3.2034,                 3.0582,                 4.4398,                 2.9498,              0.0033295,              0.0033295,              0.0033295
                      2,                  2.522,                  2.242,                  2.168,                 2.2631,                 2.8469,                 1.9717,                 0.0385,                   0.08,                0.01264,                0.00407,                 2.8595,                 4.2032,                 2.6228,                 2.3822,                 4.4876,                 2.4337,              0.0065969,              0.0065969,              0.0065969
                      3,                 2.1321,                 1.7666,                 1.8394,                 1.9879,                 2.2796,                 1.7182,                0.09376,                0.12094,                0.03534,                0.01273,                 2.5628,                 4.1106,                 2.4025,                 2.1582,                 4.7464,                 2.1966,              0.0097983,              0.0097983,              0.0097983
                      4,                 1.9921,                 1.5568,                 1.7238,                 1.8952,                 2.0038,                 1.6389,                0.33291,                0.26065,                0.20503,                0.08889,                 2.1226,                 2.7186,                 2.0377,                 1.9446,                 3.1905,                 1.9261,               0.009703,               0.009703,               0.009703
                      5,                 1.9109,                 1.4162,                 1.6628,                 1.8521,                 1.7988,                 1.6038,                0.35097,                 0.3191,                0.27071,                0.11565,                 2.0933,                 2.4738,                 2.0082,                 1.9326,                 2.8584,                 1.9165,               0.009703,               0.009703,               0.009703
                      6,                 1.8693,                 1.3301,                 1.6268,                 1.8178,                 1.6898,                 1.5738,                0.32828,                0.30944,                0.21072,                0.09337,                 2.1323,                 2.6536,                 2.0178,                 1.9736,                 3.0441,                 1.9473,               0.009604,               0.009604,               0.009604
                      7,                 1.8317,                 1.2634,                 1.6036,                 1.7969,                 1.5959,                 1.5587,                 0.4195,                0.28699,                0.26849,                0.12236,                 2.1233,                 2.3769,                 2.0348,                 2.0074,                 2.7487,                 1.9599,               0.009505,               0.009505,               0.009505
                      8,                 1.8027,                 1.2118,                  1.581,                 1.7916,                 1.5023,                 1.5502,                0.35815,                0.26826,                0.23188,                0.10152,                 2.1541,                 2.5824,                 2.0681,                 1.9977,                 3.0044,                 1.9665,               0.009406,               0.009406,               0.009406
                      9,                 1.7787,                 1.1759,                 1.5635,                 1.7801,                 1.4465,                 1.5371,                0.45366,                0.33552,                0.33208,                0.15179,                 2.0629,                 2.2232,                 1.9823,                 1.9567,                 2.5506,                 1.9247,               0.009307,               0.009307,               0.009307
                     10,                 1.7599,                 1.1443,                 1.5531,                 1.7707,                 1.3891,                 1.5344,                0.34382,                0.27226,                0.22707,                0.09786,                 2.1965,                 2.5083,                  2.101,                 2.0694,                 2.8654,                 2.0287,               0.009208,               0.009208,               0.009208
